n=69, k=23, S=105, p=[2^16 3^3 5^2 6 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5^2 7 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5^2 8 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5^2 9^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5 6^2 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5 6 7 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5 6 8 9 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5 7^2 9 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 5 7 8^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 6^3 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 6^2 7 9 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 6^2 8^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 6 7^2 8 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^16 3^3 7^4 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 4 6 14 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 4 7 13 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 4 8 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 4 9 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 4 10^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 5^2 14 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 5 6 13 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 5 7 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 5 8 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 5 9 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 6^2 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 6 7 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 6 8 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 6 9^2 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 7^2 10 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 7 8 9 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^15 3^5 8^3 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^14 3^7 6 14 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^14 3^7 7 13 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^14 3^7 8 12 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^14 3^7 9 11 ], NoSolutionStrategy3
n=69, k=23, S=105, p=[2^14 3^7 10^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 5 6 14 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 5 7 13 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 5 8 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 5 9 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 5 10^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 6^2 13 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 6 7 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 6 8 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 6 9 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 7^2 11 ], NoSolutionStrategy3
