n=147, k=49, S=222, p=[2^30 3^14], Criterion 1
n=147, k=49, S=222, p=[2^29 3^16], Criterion 1
n=152, k=51, S=228, p=[2^38 3^2], Criterion 1
n=152, k=51, S=228, p=[2^37 3^4], Criterion 1
n=152, k=51, S=228, p=[2^36 3^6], Criterion 1
n=152, k=51, S=228, p=[2^35 3^8], Criterion 1
n=152, k=51, S=228, p=[2^34 3^10], Criterion 1
n=152, k=51, S=228, p=[2^33 3^12], Criterion 1
n=152, k=51, S=228, p=[2^32 3^14], Criterion 1
n=152, k=51, S=228, p=[2^31 3^16], Criterion 1
n=152, k=57, S=204, p=[2^50 4^2], Criterion 1
n=152, k=57, S=204, p=[2^49 3^2 4], Criterion 2
n=152, k=57, S=204, p=[2^49 3 4^3], Criterion 12
n=152, k=57, S=204, p=[2^49 4^4], Criterion 1
n=152, k=57, S=204, p=[2^48 3^2], Criterion 2
n=152, k=57, S=204, p=[2^48 3 4^5], Criterion 12
n=152, k=57, S=204, p=[2^48 4^6], Criterion 1
n=152, k=57, S=204, p=[2^47 3^5 4], Criterion 2
n=152, k=57, S=204, p=[2^47 3^4 4^3], Criterion 2
n=152, k=57, S=204, p=[2^47 3^2 4^6], Criterion 12
n=152, k=57, S=204, p=[2^47 3 4^7], Criterion 12
n=152, k=57, S=204, p=[2^47 4^8], Criterion 1
n=152, k=57, S=204, p=[2^46 3^2], Criterion 2
n=152, k=57, S=204, p=[2^45 3^8 4], Criterion 2
n=152, k=57, S=204, p=[2^44 3^2], Criterion 2
n=153, k=51, S=231, p=[2^37 3^3], Criterion 1
n=153, k=51, S=231, p=[2^36 3^5], Criterion 1
n=153, k=51, S=231, p=[2^35 3^7], Criterion 1
n=153, k=51, S=231, p=[2^34 3^9], Criterion 1
n=153, k=51, S=231, p=[2^33 3^11], Criterion 1
n=153, k=51, S=231, p=[2^32 3^13], Criterion 1
n=153, k=51, S=231, p=[2^31 3^15], Criterion 1
n=153, k=51, S=231, p=[2^30 3^17], Criterion 1
n=153, k=63, S=187, p=[2^59 5 6^2], Criterion 1
n=153, k=63, S=187, p=[2^59 6^3], Criterion 1
n=155, k=62, S=195, p=[2^57 4 5^2], Criterion 1
n=155, k=62, S=195, p=[2^57 5^3], Criterion 1
n=155, k=62, S=195, p=[2^56 4 5^4], Criterion 1
n=155, k=62, S=195, p=[2^56 5^5], Criterion 1
n=158, k=53, S=237, p=[2^39 3^3], Criterion 1
n=158, k=53, S=237, p=[2^38 3^5], Criterion 1
n=158, k=53, S=237, p=[2^37 3^7], Criterion 1
n=158, k=53, S=237, p=[2^36 3^9], Criterion 1
